               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.042889,            0.096425,           0.0017664,             0.96743,             0.96651,             0.98971,             0.78178,            0.033078,            0.064941,           0.0010019,             0.00637,             0.00637,             0.00637
                 112,            0.043698,            0.097379,           0.0019924,             0.96746,             0.97399,             0.99094,             0.75986,            0.033586,            0.063721,            0.001008,            0.006337,            0.006337,            0.006337
                 113,            0.041254,             0.10105,           0.0017272,              0.9743,             0.98701,             0.99321,             0.77181,            0.030893,            0.061074,           0.0010098,            0.006304,            0.006304,            0.006304
                 114,             0.04428,            0.098599,           0.0020032,             0.95075,              0.9632,             0.98617,             0.74284,            0.036488,            0.063564,           0.0010169,            0.006271,            0.006271,            0.006271
                 115,            0.042583,            0.095769,           0.0020747,             0.97564,             0.96972,             0.99191,             0.72076,            0.029453,            0.060479,           0.0010119,            0.006238,            0.006238,            0.006238
                 116,            0.042026,            0.093009,           0.0016628,             0.97568,             0.96753,             0.99043,             0.68689,            0.033132,            0.063848,          0.00098791,            0.006205,            0.006205,            0.006205
                 117,            0.042104,            0.094728,           0.0018299,             0.96907,             0.96753,             0.99036,             0.72917,            0.032231,            0.061084,          0.00095215,            0.006172,            0.006172,            0.006172
                 118,            0.041471,            0.096759,           0.0020052,             0.97234,             0.98184,             0.99292,             0.76738,            0.029534,            0.060508,          0.00094633,            0.006139,            0.006139,            0.006139
                 119,            0.039631,            0.092122,           0.0015529,             0.97509,             0.97251,             0.99284,             0.79742,            0.030789,            0.061328,          0.00089054,            0.006106,            0.006106,            0.006106
                 120,             0.04006,            0.095485,           0.0015382,             0.98444,             0.96753,             0.99279,             0.73849,            0.031953,            0.061113,          0.00087948,            0.006073,            0.006073,            0.006073
                 121,            0.041502,             0.09498,           0.0018732,             0.97436,             0.96825,             0.99159,             0.79664,            0.032069,            0.061436,          0.00088692,             0.00604,             0.00604,             0.00604
                 122,            0.041963,            0.094227,           0.0019184,             0.97982,             0.98401,             0.99317,             0.81084,            0.028974,            0.059072,          0.00090523,            0.006007,            0.006007,            0.006007
                 123,            0.042211,            0.099813,            0.001879,             0.93367,              0.9699,             0.98569,             0.73847,            0.033266,            0.062812,          0.00089264,            0.005974,            0.005974,            0.005974
                 124,            0.042256,             0.10093,           0.0016447,             0.98281,             0.97403,             0.99229,             0.77787,            0.028883,            0.058232,          0.00088606,            0.005941,            0.005941,            0.005941
                 125,            0.044452,             0.10425,           0.0016623,             0.97966,             0.97835,             0.99184,             0.76319,            0.028944,            0.059004,          0.00082884,            0.005908,            0.005908,            0.005908
                 126,            0.040391,            0.093194,            0.001583,             0.95124,             0.94251,             0.99313,             0.71917,            0.031411,            0.061045,          0.00082302,            0.005875,            0.005875,            0.005875
                 127,            0.039397,            0.095125,           0.0017931,             0.97886,             0.97467,             0.99332,             0.79823,            0.028548,            0.058086,          0.00080099,            0.005842,            0.005842,            0.005842
                 128,            0.041959,             0.10008,           0.0016526,             0.98148,              0.9697,             0.99146,             0.82423,            0.031329,            0.061934,          0.00080786,            0.005809,            0.005809,            0.005809
                 129,            0.043872,             0.11004,           0.0017774,             0.98326,             0.96795,             0.99248,             0.77332,            0.033212,            0.061592,          0.00082874,            0.005776,            0.005776,            0.005776
                 130,            0.042092,            0.098546,           0.0016053,              0.9761,             0.98485,              0.9933,             0.79865,            0.027079,            0.058271,          0.00086508,            0.005743,            0.005743,            0.005743
